english,chinese,category
Banana liqueur,香蕉利口酒,利口酒
Beer,啤酒,调和饮料
Berries,混合莓果,装饰
Bitters,苦精,苦精
Black Sambuca,黑色萨姆布卡,利口酒
Blackberry brandy,黑莓白兰地,利口酒
Blended Scotch,调和苏格兰威士忌,基酒
Blended whiskey,调和威士忌,基酒
Cachaca,卡莎萨,基酒
Cantaloupe,哈密瓜,装饰
Carbonated water,碳酸水,调和饮料
Chambord raspberry liqueur,香波堡覆盆子利口酒,利口酒
Champagne,香槟,调和饮料
Cherry brandy,樱桃白兰地,利口酒
Cherry Heering,海灵樱桃利口酒,利口酒
Cherry Juice,樱桃汁,果汁
Chocolate,巧克力,其他
Chocolate ice-cream,巧克力冰淇淋,其他
Chocolate liqueur,巧克力利口酒,利口酒
Cider,西打酒,调和饮料
Coca-Cola,可口可乐,调和饮料
Cocoa powder,可可粉,其他
Coconut Liqueur,椰子利口酒,利口酒
Coconut rum,椰子朗姆酒,基酒
Coffee brandy,咖啡白兰地,利口酒
Coffee liqueur,咖啡利口酒,利口酒
Corona,科罗娜啤酒,调和饮料
Cranberries,蔓越莓,装饰
Cranberry vodka,蔓越莓伏特加,基酒
Creme de Cacao,可可甜酒,利口酒
Creme de Cassis,黑加仑甜酒,利口酒
Crown Royal,皇冠威士忌,基酒
demerara Sugar,德梅拉拉蔗糖,糖浆
Dry Vermouth,干味美思,利口酒
Dubonnet Rouge,杜本内红,利口酒
Egg yolk,蛋黄,其他
Elderflower cordial,接骨木花糖浆,糖浆
Espresso,浓缩咖啡,调和饮料
Everclear,Everclear高浓度酒精,基酒
Firewater,火水烈酒,基酒
Fruit punch,水果宾治,调和饮料
Galliano,加利安诺香草利口酒,利口酒
Ginger,姜,其他
Godiva liqueur,歌帝梵巧克力利口酒,利口酒
Gold rum,金朗姆酒,基酒
Goldschlager,金箔肉桂利口酒,利口酒
Grape juice,葡萄汁,果汁
Grape Soda,葡萄汽水,调和饮料
Grapes,葡萄,装饰
Green Chartreuse,绿查特酒,利口酒
Green Creme de Menthe,绿色薄荷甜酒,利口酒
Guinness stout,健力士黑啤,调和饮料
Heavy cream,稠奶油,调和饮料
Hot Chocolate,热巧克力,调和饮料
Hot Damn,Hot Damn肉桂利口酒,利口酒
Hpnotiq,蓝色魅惑利口酒,利口酒
Irish cream,爱尔兰奶油利口酒,利口酒
Irish whiskey,爱尔兰威士忌,基酒
Jack Daniels,杰克丹尼威士忌,基酒
Jägermeister,野格利口酒,利口酒
Jim Beam,占边波本威士忌,基酒
Johnnie Walker,尊尼获加威士忌,基酒
Kiwi,猕猴桃,装饰


